Piloto,Abreviacion,BHR,AUS,MYS,CHN,ESP,MON,TUR,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,RCO,BRA,ABU
Sebastian Vettel,VET,12,12,37,45,60,78,78,90,115,121,136,151,151,163,181,206,206,231,256
Fernando Alonso,ALO,25,37,37,49,67,75,79,94,98,98,123,141,141,166,191,206,231,246,252
Mark Webber,WEB,4,6,24,28,53,78,93,103,103,128,136,161,179,187,202,220,220,238,242
Lewis Hamilton,HAM,15,23,31,49,49,59,84,109,127,145,157,157,182,182,182,192,210,222,240
Jenson Button,BUT,6,31,35,60,70,70,88,106,121,133,143,147,147,165,177,189,189,199,214
Felipe Massa,MAS,18,33,39,41,49,61,67,67,67,67,85,97,109,124,128,128,143,143,144
Nico Rosberg,ROS,10,20,35,50,50,56,66,74,75,90,94,94,102,112,122,122,122,130,142
Robert Kubica,KUB,0,18,30,40,44,59,67,73,83,83,89,89,104,108,114,114,124,126,136
Michael Schumacher,SCH,8,9,9,10,22,22,34,34,34,36,38,38,44,46,46,54,66,72,72
Rubens Barrichello,BAR,1,5,5,5,7,7,7,7,19,29,29,30,30,31,39,41,47,47,47
Adrian Sutil,SUT,0,0,10,10,16,20,22,23,31,35,35,35,45,45,47,47,47,47,47
Kamui Kobayashi,KOV,0,0,0,0,0,0,1,1,7,15,15,17,21,21,21,27,31,32,32
Vitaly Petrov,PET,0,0,0,6,6,6,6,6,6,6,7,17,19,19,19,19,19,19,27
Nico Hülkenberg,HUL,0,0,1,1,1,1,1,1,1,2,2,10,10,16,17,17,18,22,22
Vitantonio Liuzzi,LUI,2,8,8,8,8,10,10,12,12,12,12,12,13,13,13,13,21,21,21
Sébastien Buemi,BUE,0,0,0,0,0,1,1,5,7,7,7,7,7,7,7,8,8,8,8
Pedro de la Rosa,DLR,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6
Nick Heidfeld,HEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6
Jaime Alguersuari,ALG,0,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
Heikki Kovalainen,KOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarno Trulli,TRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karun Chandhok,CHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Senna,SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas di Grassi,GRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timo Glock,GLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sakon Yamamoto,YAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Klien,KLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
